wuf20-91-M, 1, 5057.5, 38642, 38642, 0, 0
wuf20-91-N, 1, 6675, 1.10707e+06, 1.10707e+06, 0, 0
wuf20-91-Q, 1, 5392.5, 15292, 15292, 0, 0
wuf20-91-R, 1, 6512.5, 150376, 150376, 0, 0
wuf50-218-M, 0.81, 6115, 263522, 340192, 0.0220941, 0.600015
wuf50-218-N, 0.88, 6947.5, 1.6023e+06, 1.88191e+06, 0.0149997, 0.700003
wuf50-218-Q, 0.82, 5810, 24905.6, 33097, 0.0317423, 0.725926
wuf50-218-R, 0.88, 6695, 164245, 205207, 0.0242231, 0.414815
wuf75-325-M, 0.54, 5962.5, 115697, 237421, 0.0484458, 0.902632
wuf75-325-N, 0.57, 6982.5, 1.00245e+06, 2.00461e+06, 0.0460965, 1.00001
wuf75-325-Q, 0.52, 5707.5, 17836.2, 42532, 0.066545, 1.00185
wuf75-325-R, 0.66, 7097.5, 383058, 737600, 0.0570741, 1.00008
