wuf20-91-M, 1, 30345, 38642, 38642, 0, 0
wuf20-91-N, 1, 40050, 1.10707e+06, 1.10707e+06, 0, 0
wuf20-91-Q, 1, 32355, 15292, 15292, 0, 0
wuf20-91-R, 1, 39075, 150376, 150376, 0, 0
wuf50-218-M, 1, 36690, 339524, 340192, 0.000183699, 0.00710293
wuf50-218-N, 1, 41685, 1.87433e+06, 1.88191e+06, 0.000417863, 0.0131104
wuf50-218-Q, 1, 34860, 31896.8, 33097, 0.00314455, 0.0588406
wuf50-218-R, 1, 40170, 198066, 205207, 0.00282775, 0.0625297
wuf75-325-M, 0.93, 35775, 214262, 237421, 0.00910813, 0.50518
wuf75-325-N, 0.89, 41895, 1.69088e+06, 2.00461e+06, 0.0128067, 0.801291
wuf75-325-Q, 0.87, 34245, 30627.1, 42532, 0.0333104, 0.767156
wuf75-325-R, 0.88, 42585, 532356, 737600, 0.0313904, 0.700047
