wuf20-91-M, 1, 29490, 38642, 38642, 0, 0
wuf20-91-N, 1, 39195, 1.10707e+06, 1.10707e+06, 0, 0
wuf20-91-Q, 1, 31515, 15292, 15292, 0, 0
wuf20-91-R, 1, 38205, 150376, 150376, 0, 0
wuf50-218-M, 1, 35850, 339151, 340192, 0.000308169, 0.00789093
wuf50-218-N, 1, 40875, 1.87505e+06, 1.88191e+06, 0.000368065, 0.010522
wuf50-218-Q, 1, 34035, 32056.4, 33097, 0.00315218, 0.120057
wuf50-218-R, 1, 39330, 200370, 205207, 0.00188163, 0.0869208
wuf75-325-M, 0.89, 34905, 205452, 237421, 0.0125869, 0.502598
wuf75-325-N, 0.9, 41085, 1.70915e+06, 2.00461e+06, 0.0123241, 0.606441
wuf75-325-Q, 0.84, 33405, 29898.2, 42532, 0.0357489, 1.00113
wuf75-325-R, 0.9, 41745, 544440, 737600, 0.0289116, 0.546071
