wuf20-91-M, 1, 51060, 38642, 38642, 0, 0
wuf20-91-N, 1, 67395, 1.10707e+06, 1.10707e+06, 0, 0
wuf20-91-Q, 1, 54435, 15292, 15292, 0, 0
wuf20-91-R, 1, 65715, 150376, 150376, 0, 0
wuf50-218-M, 1, 61725, 339474, 340192, 0.000198157, 0.00868166
wuf50-218-N, 1, 70185, 1.8784e+06, 1.88191e+06, 0.000192319, 0.00812552
wuf50-218-Q, 1, 58665, 32721.4, 33097, 0.000839136, 0.0368674
wuf50-218-R, 1, 67575, 203056, 205207, 0.000825539, 0.0399456
wuf75-325-M, 0.94, 60180, 218557, 237421, 0.00734586, 0.503887
wuf75-325-N, 0.94, 70545, 1.82877e+06, 2.00461e+06, 0.00698773, 0.502148
wuf75-325-Q, 0.89, 57585, 32093.9, 42532, 0.0303042, 0.800903
wuf75-325-R, 0.92, 71685, 592548, 737600, 0.0236255, 0.623059

