1630, 18028
1639, 18028
1641, 18028
1642, 18028
1644, 18028
1647, 18028
2935, 19695
2981, 19695
2982, 19240
2983, 19240
2987, 19240
2988, 19240
2990, 19240
4296, 19392
4297, 19392
4305, 19392
4307, 19392
4309, 19392
4310, 19695
4311, 19695
4396, 18937
4397, 18937
4398, 19240
4400, 19240
4401, 19240
4408, 19240
4418, 19240
4419, 19695
4428, 18483
4429, 18483
4434, 18483
4531, 19544
4534, 19544
4545, 19544
4546, 19544
4549, 19544
4550, 19544
4552, 19544
4553, 19544
4697, 19392
4698, 19392
4699, 19392
4700, 19392
4701, 19392
4702, 19089
4704, 19089
4705, 19089
4706, 19089
4708, 19089
4712, 18634
4716, 18634
4717, 18634
4719, 18634
4720, 19089
4723, 19089
4724, 18483
4725, 18483
4726, 18483
5329, 19392
5337, 18937
5338, 18937
5342, 18937
5343, 18937
5344, 18937
5346, 18937
5347, 18937
5350, 18937
5356, 18634
5357, 18634
5360, 18634
5365, 18634
5366, 18634
5367, 18634
5368, 18634
5370, 18634
11181, 18483
11182, 18483
11183, 18483
11184, 18483
11187, 18483
11188, 18483
11190, 19392
11191, 19695
11192, 19695
11193, 19695
11197, 19695
11198, 19695
11199, 19695
11200, 19695
11201, 19695
11204, 19695
11207, 19695
11231, 19392
11232, 19392
11235, 19392
11237, 19392
11238, 19392
11240, 19392
11274, 18937
11278, 18937
14550, 19392
14551, 19695
14552, 19695
14553, 19695
14622, 19392
14623, 19847
14624, 19847
14635, 19847
14638, 19847
14642, 19847
14643, 19847
14654, 19847
14655, 19847
14656, 19847
14658, 19847
14659, 19847
14660, 19847
14661, 19847
14663, 19847
14664, 19847
14665, 19847
14667, 19847
14668, 19847
14669, 19847
14670, 19847
15752, 19392
15753, 19392
15754, 19392
15755, 19392
15756, 19847
15773, 19847
15774, 19847
15775, 19847
15776, 19847
15777, 19847
21482, 19392
25279, 19695
25306, 18483
25307, 18483
25309, 18483
25310, 18028
25311, 18028
25313, 18028
25315, 18028
25316, 17271
25317, 17271
32051, 18937
32053, 18937
32706, 19392
32707, 19392
32708, 19392
34055, 18937
34056, 18937
34057, 18937
34058, 18937
34059, 18937
34060, 18937
34061, 18937
34062, 18937
34063, 18937
34064, 18937
34065, 19392
34066, 19392
34067, 18937
34068, 18937
34069, 18937
34070, 19240
34071, 19240
34072, 19240
34073, 19240
34074, 19240
34075, 19695
34076, 19695
34077, 19695
34078, 19695
34079, 19695
34080, 19695
34081, 19695
34082, 19695
34083, 19695
34084, 19695
34085, 19695
34086, 19695
34087, 19695
34088, 19695
34089, 19695
34090, 19695
34091, 19695
34092, 19695
34093, 19695
34094, 19695
34095, 19695
34096, 19695
34097, 19695
34098, 19695
34099, 19695
34100, 19695
34101, 19695
34102, 19695
34103, 19695
34104, 19695
34105, 19695
34106, 19695
34107, 19695
34108, 19695
34109, 19695
34110, 19695
34111, 19695
34112, 19695
34113, 19695
34114, 19695
34115, 19695
34116, 19695
34117, 19392
34118, 19392
34119, 19392
34120, 19392
34121, 19392
34122, 19392
34123, 19392
34124, 19392
34125, 19392
34126, 19392
34127, 19392
34128, 19392
34129, 19392
34130, 19392
34131, 19392
34132, 19392
34133, 19392
34134, 19392
34135, 19392
34136, 19392
34137, 19392
34138, 19392
34139, 19392
34140, 19392
34141, 19392
34142, 19392
34143, 19847
34144, 19847
34145, 19544
34146, 19544
34147, 19544
34148, 19544
34149, 19544
34150, 19544
34151, 19544
34152, 19544
34153, 19544
34154, 19544
34155, 19544
34156, 19544
34157, 19544
34158, 19544
34159, 19544
34160, 19544
34161, 19544
34162, 19544
34163, 19544
34164, 19544
34165, 19544
34166, 19544
34167, 19544
34168, 19544
34169, 19544
34170, 19544
34171, 19544
34172, 19544
34173, 19544
34174, 19544
34175, 19544
34176, 19544
34177, 19544
34178, 19544
34179, 19544
34180, 19544
34181, 19544
34182, 19544
34183, 19544
34184, 19544
34185, 19544
